,0,1
30,http://www.nytimes.com/2015/09/20/nytnow/your-weekend-briefing.html,[]
31,http://www.nytimes.com/2015/09/20/us/politics/republicans-go-to-a-michigan-island-in-an-effort-to-set-themselves-apart.html,"[{u'rank': u'1', u'is_major': u'N', u'value': u'Presidential Election of 2016', u'name': u'subject'}, {u'rank': u'2', u'is_major': u'N', u'value': u'Republican Party', u'name': u'organizations'}, {u'rank': u'3', u'is_major': u'N', u'value': u'Fiorina, Carleton S', u'name': u'persons'}, {u'rank': u'4', u'is_major': u'N', u'value': u'Mackinac Island (Mich)', u'name': u'glocations'}]"
32,http://www.nytimes.com/2015/09/20/us/politics/hillary-clinton-and-bernie-sanders-in-own-ways-show-pull-at-new-hampshire-convention.html,"[{u'rank': u'1', u'is_major': u'N', u'value': u'Presidential Election of 2016', u'name': u'subject'}, {u'rank': u'2', u'is_major': u'N', u'value': u'Primaries and Caucuses', u'name': u'subject'}, {u'rank': u'3', u'is_major': u'N', u'value': u'Democratic Party', u'name': u'organizations'}, {u'rank': u'4', u'is_major': u'N', u'value': u'Clinton, Hillary Rodham', u'name': u'persons'}, {u'rank': u'5', u'is_major': u'N', u'value': u'Sanders, Bernard', u'name': u'persons'}, {u'rank': u'6', u'is_major': u'N', u'value': u'New Hampshire', u'name': u'glocations'}]"
33,http://www.nytimes.com/2015/09/20/opinion/sunday/a-toxic-work-world.html,"[{u'rank': u'1', u'is_major': u'Y', u'value': u'Work-Life Balance', u'name': u'subject'}, {u'rank': u'2', u'is_major': u'Y', u'value': u'Women and Girls', u'name': u'subject'}, {u'rank': u'3', u'is_major': u'N', u'value': u'Parenting', u'name': u'subject'}, {u'rank': u'4', u'is_major': u'N', u'value': u'Paid Time Off', u'name': u'subject'}, {u'rank': u'5', u'is_major': u'N', u'value': u'Family Leaves', u'name': u'subject'}, {u'rank': u'6', u'is_major': u'N', u'value': u'United States', u'name': u'glocations'}]"
34,http://www.nytimes.com/aponline/2015/09/19/us/politics/ap-us-dem-2016.html,[]
35,http://www.nytimes.com/politics/first-draft/2015/09/19/bernie-sanders-lightens-up-with-stephen-colbert/,"[{u'rank': u'1', u'name': u'persons', u'value': u'Clinton, Hillary Rodham'}, {u'rank': u'2', u'name': u'persons', u'value': u'Colbert, Stephen'}, {u'rank': u'3', u'name': u'persons', u'value': u'Sanders, Bernard'}, {u'rank': u'1', u'name': u'subject', u'value': u'Presidential Election of 2016'}, {u'rank': u'2', u'name': u'subject', u'value': u'Television'}]"
36,http://www.nytimes.com/aponline/2015/09/19/us/politics/ap-us-gop-2016-state-of-play.html,[]
37,http://www.nytimes.com/aponline/2015/09/19/us/politics/ap-us-campaign-2016-the-latest.html,[]
38,http://www.nytimes.com/aponline/2015/09/19/us/politics/ap-us-obama.html,[]
39,http://www.nytimes.com/aponline/2015/09/19/us/politics/ap-us-news-shows.html,[]
40,http://www.nytimes.com/aponline/2015/09/19/us/politics/ap-us-black-lives-matter-politics.html,[]
41,http://www.nytimes.com/aponline/2015/09/19/us/ap-us-dem-2016-sanders-colbert.html,[]
42,http://www.nytimes.com/2015/09/19/us/politics/donald-trump-republican-nomination.html,"[{u'rank': u'1', u'is_major': u'N', u'value': u'Presidential Election of 2016', u'name': u'subject'}, {u'rank': u'2', u'is_major': u'N', u'value': u'Campaign Finance', u'name': u'subject'}, {u'rank': u'3', u'is_major': u'N', u'value': u'Trump, Donald J', u'name': u'persons'}, {u'rank': u'4', u'is_major': u'N', u'value': u'Republican Party', u'name': u'organizations'}, {u'rank': u'5', u'is_major': u'N', u'value': u'Debates (Political)', u'name': u'subject'}, {u'rank': u'6', u'is_major': u'N', u'value': u'Political Advertising', u'name': u'subject'}, {u'rank': u'7', u'is_major': u'N', u'value': u'Polls and Public Opinion', u'name': u'subject'}]"
43,http://www.nytimes.com/2015/09/19/upshot/stuff-we-liked-a-chance-to-draw-trump.html,"[{u'rank': u'1', u'is_major': u'N', u'value': u'Trump, Donald J', u'name': u'persons'}, {u'rank': u'2', u'is_major': u'N', u'value': u'Artificial Intelligence', u'name': u'subject'}]"
44,http://www.nytimes.com/2015/09/19/us/politics/donald-trump-obama-muslim.html,"[{u'rank': u'1', u'is_major': u'N', u'value': u'Trump, Donald J', u'name': u'persons'}, {u'rank': u'2', u'is_major': u'N', u'value': u'Presidential Election of 2016', u'name': u'subject'}, {u'rank': u'3', u'is_major': u'N', u'value': u'Muslim Americans', u'name': u'subject'}]"
45,http://www.nytimes.com/2015/09/19/business/carried-interest-tax-break-divides-again-after-trump-revives-the-issue.html,"[{u'rank': u'1', u'is_major': u'N', u'value': u'Presidential Election of 2016', u'name': u'subject'}, {u'rank': u'2', u'is_major': u'N', u'value': u'Trump, Donald J', u'name': u'persons'}, {u'rank': u'3', u'is_major': u'N', u'value': u'Tax Credits, Deductions and Exemptions', u'name': u'subject'}, {u'rank': u'4', u'is_major': u'N', u'value': u'Bush, Jeb', u'name': u'persons'}, {u'rank': u'5', u'is_major': u'N', u'value': u'Capital Gains Tax', u'name': u'subject'}, {u'rank': u'6', u'is_major': u'N', u'value': u'United States Politics and Government', u'name': u'subject'}, {u'rank': u'7', u'is_major': u'N', u'value': u'Income Inequality', u'name': u'subject'}]"
46,http://www.nytimes.com/politics/first-draft/2015/09/18/carly-fiorina-defends-her-comments-on-planned-parenthood-video/,"[{u'rank': u'1', u'name': u'persons', u'value': u'Fiorina, Carleton S'}, {u'rank': u'1', u'name': u'organizations', u'value': u'Planned Parenthood Federation of America'}, {u'rank': u'2', u'name': u'organizations', u'value': u'Republican Party'}, {u'rank': u'1', u'name': u'subject', u'value': u'Presidential Election of 2016'}]"
47,http://www.nytimes.com/politics/first-draft/2015/09/18/bernie-sanders-bashes-billionaires-at-a-manhattan-fund-raiser/,"[{u'rank': u'1', u'name': u'persons', u'value': u'Sanders, Bernard'}, {u'rank': u'1', u'name': u'glocations', u'value': u'Manhattan (NYC)'}, {u'rank': u'1', u'name': u'organizations', u'value': u'Town Hall (Manhattan, NY)'}, {u'rank': u'1', u'name': u'subject', u'value': u'Campaign Finance'}, {u'rank': u'2', u'name': u'subject', u'value': u'Presidential Election of 2016'}]"
48,http://www.nytimes.com/aponline/2015/09/18/us/ap-us-ap-explains-alexander-hamilton.html,[]
49,http://www.nytimes.com/aponline/2015/09/18/arts/ap-us-news-shows.html,[]
50,http://www.nytimes.com/aponline/2015/09/18/us/ap-us-dem-2016-clinton.html,[]
51,http://www.nytimes.com/politics/first-draft/2015/09/18/today-in-politics-a-new-scrum-offers-a-chance-to-build-upon-or-forget-what-happened-in-the-old/,"[{u'rank': u'1', u'name': u'organizations', u'value': u'Heritage Action for America'}, {u'rank': u'2', u'name': u'organizations', u'value': u'Republican Party'}, {u'rank': u'1', u'name': u'subject', u'value': u'Presidential Election of 2016'}]"
52,http://www.nytimes.com/aponline/2015/09/18/us/politics/ap-us-gop-2016-fiorina.html,[]
53,http://www.nytimes.com/aponline/2015/09/18/us/politics/ap-us-drug-costs-.html,[]
54,http://www.nytimes.com/aponline/2015/09/18/us/ap-us-gop-2016-trump.html,[]
55,http://www.nytimes.com/2015/09/18/world/finger-pointing-but-few-answers-after-a-syria-solution-fails.html,"[{u'rank': u'1', u'is_major': u'Y', u'value': u'United States Defense and Military Forces', u'name': u'subject'}, {u'rank': u'2', u'is_major': u'Y', u'value': u'Syria', u'name': u'glocations'}, {u'rank': u'3', u'is_major': u'Y', u'value': u'Islamic State in Iraq and Syria (ISIS)', u'name': u'organizations'}, {u'rank': u'4', u'is_major': u'N', u'value': u'United States Politics and Government', u'name': u'subject'}, {u'rank': u'5', u'is_major': u'N', u'value': u'Terrorism', u'name': u'subject'}, {u'rank': u'6', u'is_major': u'N', u'value': u'Free Syrian Army', u'name': u'organizations'}, {u'rank': u'7', u'is_major': u'N', u'value': u'Obama, Barack', u'name': u'persons'}, {u'rank': u'8', u'is_major': u'N', u'value': u'Assad, Bashar al-', u'name': u'persons'}]"
56,http://www.nytimes.com/2015/09/18/us/politics/carly-fiorina-gains-traction-in-debate-and-republicans-may-seize-on-her-appeal.html,"[{u'rank': u'1', u'is_major': u'Y', u'value': u'Fiorina, Carleton S', u'name': u'persons'}, {u'rank': u'2', u'is_major': u'Y', u'value': u'Presidential Election of 2016', u'name': u'subject'}, {u'rank': u'3', u'is_major': u'Y', u'value': u'Women and Girls', u'name': u'subject'}, {u'rank': u'4', u'is_major': u'Y', u'value': u'Debates (Political)', u'name': u'subject'}, {u'rank': u'5', u'is_major': u'N', u'value': u'Republican Party', u'name': u'organizations'}]"
57,http://www.nytimes.com/2015/09/17/world/americas/max-beauvoir-haitis-high-priest-of-voodoo-dies-at-79.html,"[{u'rank': u'1', u'is_major': u'Y', u'value': u'Deaths (Obituaries)', u'name': u'subject'}, {u'rank': u'2', u'is_major': u'N', u'value': u'Voodoo', u'name': u'subject'}, {u'rank': u'3', u'is_major': u'N', u'value': u'Haiti', u'name': u'glocations'}, {u'rank': u'4', u'is_major': u'N', u'value': u'Beauvoir, Max (1936-2015)', u'name': u'persons'}]"
58,http://www.nytimes.com/politics/first-draft/2015/09/17/clinton-campaign-chairman-questions-whether-biden-can-catch-up-organizationally/,[]
59,http://www.nytimes.com/politics/first-draft/2015/09/17/verbatim-hillary-clinton-suggests-white-house-moving-too-slowly-on-keystone/,"[{u'rank': u'1', u'name': u'persons', u'value': u'Clinton, Hillary Rodham'}, {u'rank': u'1', u'name': u'subject', u'value': u'Keystone Pipeline System'}, {u'rank': u'2', u'name': u'subject', u'value': u'Presidential Election of 2016'}]"
60,http://www.nytimes.com/politics/first-draft/2015/09/17/bernie-sanders-raises-1-million-off-attack-from-allies-of-hillary-clinton/,"[{u'rank': u'1', u'name': u'persons', u'value': u'Clinton, Hillary Rodham'}, {u'rank': u'2', u'name': u'persons', u'value': u'Sanders, Bernard'}, {u'rank': u'1', u'name': u'organizations', u'value': u'Correct the Record'}, {u'rank': u'1', u'name': u'subject', u'value': u'Presidential Election of 2016'}]"
61,http://parenting.blogs.nytimes.com/2015/09/17/your-family-or-your-job-why-we-shouldnt-ask-which-comes-first/,"[{u'rank': u'1', u'name': u'persons', u'value': u'Slaughter, Anne-Marie'}, {u'rank': u'1', u'name': u'subject', u'value': u'Gender'}, {u'rank': u'2', u'name': u'subject', u'value': u'Labor and Jobs'}, {u'rank': u'3', u'name': u'subject', u'value': u'Parenting'}, {u'rank': u'4', u'name': u'subject', u'value': u'Women and Girls'}, {u'rank': u'5', u'name': u'subject', u'value': u'Work-Life Balance'}]"
62,http://www.nytimes.com/politics/first-draft/2015/09/17/carly-fiorina-said-to-exaggerate-content-of-planned-parenthood-videos/,"[{u'rank': u'1', u'is_major': u'N', u'value': u'Presidential Election of 2016', u'name': u'subject'}, {u'rank': u'2', u'is_major': u'N', u'value': u'Fiorina, Carleton S', u'name': u'persons'}, {u'rank': u'3', u'is_major': u'N', u'value': u'Planned Parenthood Federation of America', u'name': u'organizations'}, {u'rank': u'4', u'is_major': u'N', u'value': u'Abortion', u'name': u'subject'}]"
63,http://www.nytimes.com/aponline/2015/09/17/us/politics/ap-us-gop-2016.html,[]
64,http://www.nytimes.com/politics/first-draft/2015/09/17/today-in-politics-in-marathon-debate-a-few-candidates-emerge-from-the-pack/,"[{u'rank': u'1', u'name': u'persons', u'value': u'Bush, Jeb'}, {u'rank': u'2', u'name': u'persons', u'value': u'Fiorina, Carleton S'}, {u'rank': u'3', u'name': u'persons', u'value': u'Rubio, Marco'}, {u'rank': u'4', u'name': u'persons', u'value': u'Trump, Donald J'}, {u'rank': u'1', u'name': u'organizations', u'value': u'Republican Party'}, {u'rank': u'1', u'name': u'subject', u'value': u'Debates (Political)'}, {u'rank': u'2', u'name': u'subject', u'value': u'Presidential Election of 2016'}]"
65,http://www.nytimes.com/aponline/2015/09/17/us/ap-us-biden-.html,[]
66,http://www.nytimes.com/aponline/2015/09/17/us/ap-us-dem-2016-clinton.html,[]
67,http://www.nytimes.com/politics/first-draft/2015/09/17/hillary-clinton-visits-the-tonight-show-and-takes-advice-from-jimmy-fallons-donald-trump/,"[{u'rank': u'1', u'name': u'persons', u'value': u'Clinton, Hillary Rodham'}, {u'rank': u'2', u'name': u'persons', u'value': u'Fallon, Jimmy'}, {u'rank': u'3', u'name': u'persons', u'value': u'Trump, Donald J'}, {u'rank': u'1', u'name': u'subject', u'value': u'Presidential Election of 2016'}]"
68,http://www.nytimes.com/2015/09/17/arts/television/review-in-republican-debate-cnn-throws-candidates-into-ring.html,"[{u'rank': u'1', u'is_major': u'N', u'value': u'Presidential Election of 2016', u'name': u'subject'}, {u'rank': u'2', u'is_major': u'N', u'value': u'Debates (Political)', u'name': u'subject'}, {u'rank': u'3', u'is_major': u'N', u'value': u'Television', u'name': u'subject'}, {u'rank': u'4', u'is_major': u'N', u'value': u'CNN', u'name': u'organizations'}, {u'rank': u'5', u'is_major': u'N', u'value': u'Trump, Donald J', u'name': u'persons'}, {u'rank': u'6', u'is_major': u'N', u'value': u'Bush, Jeb', u'name': u'persons'}, {u'rank': u'7', u'is_major': u'N', u'value': u'Fiorina, Carleton S', u'name': u'persons'}]"
69,http://www.nytimes.com/2015/09/17/us/texas-student-is-under-police-investigation-for-building-a-clock.html,"[{u'rank': u'1', u'is_major': u'Y', u'value': u'Mohamed, Ahmed (Irving, Tex, Student)', u'name': u'persons'}, {u'rank': u'2', u'is_major': u'Y', u'value': u'Discrimination', u'name': u'subject'}, {u'rank': u'3', u'is_major': u'Y', u'value': u'Muslim Americans', u'name': u'subject'}, {u'rank': u'4', u'is_major': u'Y', u'value': u'Education (K-12)', u'name': u'subject'}, {u'rank': u'5', u'is_major': u'Y', u'value': u'Irving (Tex)', u'name': u'glocations'}, {u'rank': u'6', u'is_major': u'N', u'value': u'Obama, Barack', u'name': u'persons'}, {u'rank': u'7', u'is_major': u'N', u'value': u'Bombs and Explosives', u'name': u'subject'}, {u'rank': u'8', u'is_major': u'N', u'value': u'MacArthur High School (Irving, Tex)', u'name': u'organizations'}, {u'rank': u'9', u'is_major': u'N', u'value': u'Watches and Clocks', u'name': u'subject'}, {u'rank': u'10', u'is_major': u'N', u'value': u'Terrorism', u'name': u'subject'}]"
70,http://www.nytimes.com/aponline/2015/09/16/us/politics/ap-us-dem-2016-chelsea-clinton.html,[]
