,date,longitude,latitude,Sentiment,Unnamed: 0,Unnamed: 0.1,Recommendations,EditorPick,userID,Comment_b
139,2015-07-14-01,-76.7902,39.0724,1,19904.0,24472.0,12.0,0.0,38548797.0,1.0
140,2015-07-14-01,-74.9384,42.1497,0,16611.0,24308.0,3.0,0.0,32858436.0,1.0
141,2015-07-14-01,-74.9384,42.1497,0,16600.0,24159.0,5.0,0.0,14387316.0,1.0
142,2015-07-14-01,-74.9384,42.1497,0,16618.0,24416.0,244.0,0.0,55678593.0,1.0
143,2015-07-14-01,-74.9384,42.1497,1,16602.0,24208.0,1.0,0.0,61064918.0,1.0
144,2015-07-14-01,-74.9384,42.1497,1,16592.0,24065.0,12.0,0.0,20871127.0,1.0
145,2015-07-14-01,-74.9384,42.1497,1,16621.0,24436.0,143.0,0.0,71891955.0,1.0
146,2015-07-14-01,-74.9384,42.1497,1,16604.0,24247.0,2.0,0.0,23269197.0,1.0
147,2015-07-14-01,-74.9384,42.1497,1,16622.0,24438.0,58.0,0.0,41963297.0,1.0
148,2015-07-14-01,-74.9384,42.1497,1,16608.0,24295.0,12.0,0.0,12443097.0,1.0
149,2015-07-14-01,-74.9384,42.1497,1,16604.0,24226.0,3.0,0.0,44315664.5,1.0
150,2015-07-14-01,-74.9384,42.1497,1,16596.0,24133.0,0.0,0.0,11871046.0,1.0
151,2015-07-14-01,-74.9384,42.1497,1,16607.0,24275.0,19.0,0.0,60998173.0,1.0
152,2015-07-14-01,-74.5089,40.314,0,20734.0,24288.0,190.0,1.0,23912056.0,1.0
153,2015-07-14-01,-74.5089,40.314,1,20732.0,24270.0,21.0,0.0,46908727.0,1.0
154,2015-07-14-01,-74.5089,40.314,1,20737.0,24371.5,6.5,0.0,31850104.5,1.0
155,2015-07-14-01,-74.5089,40.314,1,20730.0,24161.0,2.0,0.0,1544963.0,1.0
156,2015-07-14-01,-72.7622,41.5834,1,14033.0,24157.0,5.0,0.0,51052761.0,1.0
157,2015-07-14-01,-72.7622,41.5834,1,14037.0,24413.0,8.0,0.0,61167350.0,1.0
158,2015-07-14-01,-72.7093,44.0407,1,20940.0,24093.0,4.0,0.0,60532692.0,1.0
159,2015-07-14-01,-72.7093,44.0407,1,20942.0,24321.0,5.0,0.0,7983852.0,1.0
160,2015-07-14-01,-71.5653,43.4108,1,22017.0,24362.0,29.0,0.0,26825267.0,1.0
161,2015-07-14-01,-71.5314,42.2373,1,21823.0,24209.0,1.0,0.0,2430225.0,1.0
162,2015-07-14-01,-71.5314,42.2373,1,21825.0,24250.0,2.0,0.0,12252435.0,1.0
163,2015-07-14-01,-71.5314,42.2373,1,21830.0,24375.0,15.0,0.0,64651298.0,1.0
164,2015-07-14-01,-71.5314,42.2373,1,21826.0,24276.0,42.0,0.0,2073520.0,1.0
165,2015-07-14-01,-71.5101,41.6772,1,17103.0,24380.0,207.0,1.0,6820150.0,1.0
166,2015-07-14-01,-69.3977,44.6074,0,24033.0,24189.0,5.0,0.0,61190755.0,1.0
167,2015-07-14-01,-69.3977,44.6074,1,24031.0,24046.0,20.0,0.0,60443563.0,1.0
168,2015-07-15-01,-157.5311,21.1098,1,21875.0,22739.0,16.0,0.0,59685043.0,1.0
169,2015-07-15-01,-122.1269,44.5672,0,21215.0,22661.0,23.0,0.0,72508222.0,1.0
170,2015-07-15-01,-121.5708,47.3917,1,23056.0,22679.0,1.0,0.0,66757566.0,1.0
171,2015-07-15-01,-121.5708,47.3917,1,23057.0,22701.0,15.0,0.0,7529267.0,1.0
